Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer Segment
MB-18085,45,10,1428.231,3,2,2,7,Medium Value
MC-17275,77,13,2725.982,2,3,3,8,Medium Value
MC-17425,400,10,4432.138,1,2,4,7,Medium Value
MC-17575,28,11,1303.893,4,2,2,8,Medium Value
MC-17590,52,17,2426.067,3,4,3,10,High Value
MC-17605,113,18,2258.192,2,4,3,9,Medium Value
MC-17635,190,8,795.154,1,2,1,4,Low Value
MC-17845,2,14,3805.714,4,3,4,11,High Value
MC-18100,42,19,2218.98,3,4,2,9,Medium Value
MC-18130,370,11,1581.9979999999998,1,2,2,5,Low Value
MD-17350,118,17,3766.382,2,4,3,9,Medium Value
MD-17860,37,8,1204.91,3,2,2,7,Medium Value
ME-17320,43,22,10663.728000000001,3,4,4,11,High Value
ME-17725,29,13,1908.4532,4,3,2,9,Medium Value
ME-18010,93,6,1256.944,2,1,2,5,Low Value
MF-17665,422,8,937.039,1,2,1,4,Low Value
MF-18250,8,12,1758.3,4,3,2,9,Medium Value
MG-17650,30,14,3785.276,4,3,3,10,High Value
MG-17680,93,10,2350.188,2,2,3,7,Medium Value
MG-17695,556,7,1342.282,1,1,2,4,Low Value
MG-17875,117,7,1242.8329999999999,2,1,2,5,Low Value
MG-17890,100,13,776.384,2,3,1,6,Low Value
MG-18145,85,8,3061.543,2,2,3,7,Medium Value
MG-18205,265,2,16.739,1,1,1,3,Low Value
MH-17290,120,13,2394.025,2,3,3,8,Medium Value
MH-17440,377,9,400.016,1,2,1,4,Low Value
MH-17455,86,11,2456.1820000000002,2,2,3,7,Medium Value
MH-17620,156,6,1252.8,2,1,2,5,Low Value
MH-17785,99,11,2203.7780000000002,2,2,2,6,Low Value
MH-18025,50,10,2984.948,3,2,3,8,Medium Value
MH-18115,6,22,5503.093,4,4,4,12,High Value
MJ-17740,23,15,6320.746,4,3,4,11,High Value
MK-17905,29,17,2302.368,4,4,3,11,High Value
MK-18160,241,11,1031.602,1,2,1,4,Low Value
ML-17395,70,20,2722.843,3,4,3,10,High Value
ML-17410,55,15,2921.5,3,3,3,9,Medium Value
ML-17755,30,13,2071.9139999999998,4,3,2,9,Medium Value
ML-18040,80,4,742.082,2,1,1,4,Low Value
ML-18265,101,3,162.232,2,1,1,4,Low Value
MM-17260,169,6,1314.023,2,1,2,5,Low Value
MM-17920,8,16,3794.0800000000004,4,4,4,12,High Value
MM-18055,62,19,2749.881,3,4,3,10,High Value
MM-18280,86,12,775.414,2,3,1,6,Low Value
MN-17935,35,10,2477.946,3,2,3,8,Medium Value
MO-17500,73,5,922.487,3,1,1,5,Low Value
MO-17800,105,11,1687.0269999999998,2,2,2,6,Low Value
MO-17950,181,4,154.288,2,1,1,4,Low Value
MP-17470,720,14,3206.132,1,3,3,7,Medium Value
MP-17965,73,20,3983.6420000000003,3,4,4,11,High Value
MP-18175,17,19,5087.92,4,4,4,12,High Value
MR-17545,126,6,639.178,2,1,1,4,Low Value
MS-17365,274,24,7443.6900000000005,1,4,4,9,Medium Value
MS-17530,435,7,475.65599999999995,1,1,1,3,Low Value
MS-17710,414,15,1613.402,1,3,2,6,Low Value
MS-17770,122,19,3144.678,2,4,3,9,Medium Value
MS-17830,453,5,370.348,1,1,1,3,Low Value
MS-17980,27,11,855.116,4,2,1,7,Medium Value
MT-17815,50,10,2890.139,3,2,3,8,Medium Value
MT-18070,204,11,1319.4498,1,2,2,5,Low Value
MV-17485,28,15,1560.05,4,3,2,9,Medium Value
MV-18190,20,11,1734.574,4,2,2,8,Medium Value
MW-18220,18,14,5341.900000000001,4,3,4,11,High Value
MW-18235,45,3,5253.876,3,1,4,8,Medium Value
MY-17380,30,13,2254.285,4,3,2,9,Medium Value
MY-18295,72,21,4152.696,3,4,4,11,High Value
MZ-17335,31,6,593.606,4,1,1,6,Low Value
MZ-17515,283,10,2564.906,1,2,3,6,Low Value
NB-18580,1166,2,273.87199999999996,1,1,1,3,Low Value
NB-18655,20,17,1972.599,4,4,2,10,High Value
NC-18340,225,17,2461.404,1,4,3,8,Medium Value
NC-18415,42,14,2218.9900000000002,3,3,2,8,Medium Value
NC-18535,7,15,8241.739,4,3,4,11,High Value
NC-18625,205,9,1821.742,1,2,2,5,Low Value
ND-18370,28,18,4326.139,4,4,4,12,High Value
ND-18460,184,8,2893.455,2,2,3,7,Medium Value
NF-18385,80,14,8322.826,2,3,4,9,Medium Value
NF-18475,526,4,377.16200000000003,1,1,1,3,Low Value
NF-18595,115,12,2031.472,2,3,2,7,Medium Value
NG-18355,49,16,1869.58,3,4,2,9,Medium Value
NG-18430,49,9,1395.9379999999999,3,2,2,7,Medium Value
NH-18610,190,11,2673.29,1,2,3,6,Low Value
NK-18490,71,11,572.048,3,2,1,6,Low Value
NL-18310,59,10,1418.0900000000001,3,2,2,7,Medium Value
NM-18445,161,14,6459.344,2,3,4,9,Medium Value
NM-18520,245,15,2161.979,1,3,2,6,Low Value
NP-18325,26,21,5529.62,4,4,4,12,High Value
NP-18670,59,10,3908.402,3,2,4,9,Medium Value
NP-18685,407,7,1228.698,1,1,2,4,Low Value
NP-18700,139,13,7903.1825,2,3,4,9,Medium Value
NR-18550,211,13,2367.277,1,3,3,7,Medium Value
NS-18505,7,15,2575.863,4,3,3,10,High Value
NS-18640,175,26,2964.823,2,4,3,9,Medium Value
NW-18400,173,22,7234.014,2,4,4,10,High Value
NZ-18565,86,20,2488.31,2,4,3,9,Medium Value
ON-18715,411,15,1567.52,1,3,2,6,Low Value
OT-18730,66,10,3818.624,3,2,4,9,Medium Value
PA-19060,104,7,729.408,2,1,1,4,Low Value
PB-18805,26,10,740.356,4,2,1,7,Medium Value
PB-19105,58,5,688.324,3,1,1,5,Low Value
PB-19150,98,11,1456.95,2,2,2,6,Low Value
PB-19210,689,2,132.738,1,1,1,3,Low Value
PC-18745,3,5,1832.064,4,1,2,7,Medium Value
PC-19000,883,3,1061.488,1,1,1,3,Low Value
PF-19120,836,19,9062.864,1,4,4,9,Medium Value
PF-19165,197,10,2770.0,1,2,3,6,Low Value
PF-19225,115,10,2206.1279999999997,2,2,2,6,Low Value
PG-18820,37,26,3086.907,3,4,3,10,High Value
PG-18895,58,17,1987.164,3,4,2,9,Medium Value
PH-18790,71,2,729.648,3,1,1,5,Low Value
PJ-18835,40,13,1220.09,3,3,2,8,Medium Value
PJ-19015,135,10,1824.2340000000002,2,2,2,6,Low Value
PK-18910,484,3,1441.152,1,1,2,4,Low Value
PK-19075,10,25,8646.934,4,4,4,12,High Value
PL-18925,16,8,239.481,4,2,1,7,Medium Value
PM-18940,387,4,1405.402,1,1,2,4,Low Value
PM-19135,52,7,4115.662,3,1,4,8,Medium Value
PN-18775,31,13,1467.152,4,3,2,9,Medium Value
PO-18850,5,22,7473.8282,4,4,4,12,High Value
PO-18865,1,13,2493.214,4,3,3,10,High Value
PO-19180,161,18,4893.043,2,4,4,10,High Value
PO-19195,87,10,1056.858,2,2,1,5,Low Value
PP-18955,98,34,7252.608,2,4,4,10,High Value
PR-18880,37,12,1840.178,3,3,2,8,Medium Value
PS-18760,108,21,2181.479,2,4,2,8,Medium Value
PS-18970,70,13,1278.639,3,3,2,8,Medium Value
PS-19045,237,13,6843.634,1,3,4,8,Medium Value
PT-19090,72,7,160.572,3,1,1,5,Low Value
PV-18985,90,13,2876.046,2,3,3,8,Medium Value
PW-19030,47,13,3454.916,3,3,3,9,Medium Value
PW-19240,465,12,3922.4150000000004,1,3,4,8,Medium Value
QJ-19255,26,13,6108.338,4,3,4,11,High Value
RA-19285,6,17,2617.906,4,4,3,11,High Value
RA-19885,44,15,3832.314,3,3,4,10,High Value
RA-19915,13,22,4793.543,4,4,4,12,High Value
RA-19945,62,9,1686.9225,3,2,2,7,Medium Value
RB-19330,69,6,1008.1959999999999,3,1,1,5,Low Value
RB-19360,97,18,15117.339,2,4,4,10,High Value
RB-19435,20,16,2663.0860000000002,4,4,3,11,High Value
RB-19465,10,23,4715.466,4,4,4,12,High Value
RB-19570,26,9,528.546,4,2,1,7,Medium Value
RB-19645,649,7,221.084,1,1,1,3,Low Value
RB-19705,55,7,2067.45,3,1,2,6,Low Value
RB-19795,33,18,5633.316000000001,3,4,4,11,High Value
RC-19825,370,10,966.409,1,2,1,4,Low Value
RC-19960,111,11,885.752,2,2,1,5,Low Value
RD-19480,73,15,4272.93,3,3,4,10,High Value
RD-19585,181,19,2912.8940000000002,2,4,3,9,Medium Value
RD-19660,115,5,2786.632,2,1,3,6,Low Value
RD-19720,22,20,1419.737,4,4,2,10,High Value
RD-19810,15,16,1137.616,4,4,1,9,Medium Value
RD-19900,115,21,3133.924,2,4,3,9,Medium Value
RD-19930,43,10,970.9420000000001,3,2,1,6,Low Value
RE-19405,1098,1,48.36,1,1,1,3,Low Value
RE-19450,303,9,876.696,1,2,1,4,Low Value
RF-19345,391,16,3309.15,1,4,3,8,Medium Value
RF-19735,90,14,2341.2960000000003,2,3,3,8,Medium Value
RF-19840,7,11,945.222,4,2,1,7,Medium Value
RH-19495,33,8,3621.3759999999997,3,2,3,8,Medium Value
RH-19510,468,12,6979.18,1,3,4,8,Medium Value
RH-19555,520,3,740.382,1,1,1,3,Low Value
RH-19600,535,11,2085.7400000000002,1,2,2,5,Low Value
RK-19300,120,8,1460.192,2,2,2,6,Low Value
RL-19615,122,24,6234.91,2,4,4,10,High Value
RM-19375,346,9,1453.474,1,2,2,5,Low Value
RM-19675,7,11,5979.0960000000005,4,2,4,10,High Value
RM-19750,300,2,98.35,1,1,1,3,Low Value
RO-19780,36,12,3815.478,3,3,4,10,High Value
RP-19270,497,12,954.6452,1,3,1,5,Low Value
RP-19390,34,25,5153.084,3,4,4,11,High Value
RP-19855,29,15,2170.716,4,3,2,9,Medium Value
RR-19315,20,4,615.932,4,1,1,6,Low Value
RR-19525,171,10,3302.2619999999997,2,2,3,7,Medium Value
RS-19420,77,9,3221.29,2,2,3,7,Medium Value
RS-19765,37,14,4159.7699999999995,3,3,4,10,High Value
RS-19870,20,3,22.328,4,1,1,6,Low Value
RW-19540,121,23,7397.401,2,4,4,10,High Value
RW-19630,90,16,3279.746,2,4,3,9,Medium Value
RW-19690,80,15,3495.646,2,3,3,8,Medium Value
SA-20830,64,21,4767.3415,3,4,4,11,High Value
SB-20170,202,7,1348.02,1,1,2,4,Low Value
SB-20185,189,12,6410.996,1,3,4,8,Medium Value
SB-20290,48,17,8057.891,3,4,4,11,High Value
SC-20020,782,17,3362.9636,1,4,3,8,Medium Value
SC-20050,41,15,4624.572,3,3,4,10,High Value
SC-20095,350,22,14142.333999999999,1,4,4,9,Medium Value
SC-20230,150,11,4371.9580000000005,2,2,4,8,Medium Value
SC-20260,188,18,3729.7929999999997,1,4,3,8,Medium Value
SC-20305,30,12,3979.065,4,3,4,11,High Value
SC-20380,31,20,5992.536,4,4,4,12,High Value
SC-20440,37,10,1874.998,3,2,2,7,Medium Value
SC-20575,93,7,902.7280000000001,2,1,1,4,Low Value
SC-20680,127,8,1254.64,2,2,2,6,Low Value
SC-20695,90,14,2576.408,2,3,3,8,Medium Value
SC-20725,188,26,5226.21,1,4,4,9,Medium Value
SC-20770,42,21,4492.657,3,4,4,11,High Value
SC-20800,31,5,279.25600000000003,4,1,1,6,Low Value
SC-20845,132,4,280.632,2,1,1,4,Low Value
SD-20485,201,21,6121.114,1,4,4,9,Medium Value
SE-20110,10,19,12209.438000000002,4,4,4,12,High Value
SF-20065,60,9,763.5459999999999,3,2,1,6,Low Value
SF-20200,60,15,3422.7859999999996,3,3,3,9,Medium Value
SF-20965,49,17,3336.535,3,4,3,10,High Value
SG-20080,9,11,3406.5809999999997,4,2,3,9,Medium Value
SG-20470,184,14,1884.798,2,3,2,7,Medium Value
SG-20605,109,13,3124.832,2,3,3,8,Medium Value
SG-20890,227,5,47.946,1,1,1,3,Low Value
SH-19975,30,29,3406.8395,4,4,3,11,High Value
SH-20395,24,15,2180.718,4,3,2,9,Medium Value
SH-20635,766,2,2096.392,1,1,2,4,Low Value
SJ-20125,96,24,3949.656,2,4,4,10,High Value
SJ-20215,30,10,1341.036,4,2,2,8,Medium Value
SJ-20500,254,7,1318.776,1,1,2,4,Low Value
SK-19990,9,5,883.409,4,1,1,6,Low Value
SL-20155,71,9,3053.012,3,2,3,8,Medium Value
SM-20005,422,6,244.49399999999997,1,1,1,3,Low Value
SM-20320,80,15,25043.05,2,3,4,9,Medium Value
SM-20905,607,6,1043.041,1,1,1,3,Low Value
SM-20950,26,22,5563.392,4,4,4,12,High Value
SN-20560,112,15,1860.418,2,3,2,7,Medium Value
SN-20710,80,19,3127.9592,2,4,3,9,Medium Value
SO-20335,30,15,2602.5755,4,3,3,10,High Value
SP-20545,328,10,1306.086,1,2,2,5,Low Value
SP-20620,48,24,5440.319,3,4,4,11,High Value
SP-20650,387,15,1872.4360000000001,1,3,2,6,Low Value
SP-20860,80,24,4282.94,2,4,4,10,High Value
SP-20920,71,14,3990.689,3,3,4,10,High Value
SR-20425,9,9,3233.481,4,2,3,9,Medium Value
SR-20740,197,12,4345.8859999999995,1,3,4,8,Medium Value
SS-20140,16,21,1324.028,4,4,2,10,High Value
SS-20410,111,12,3056.8070000000002,2,3,3,8,Medium Value
SS-20515,492,6,613.4,1,1,1,3,Low Value
SS-20590,433,9,418.49,1,2,1,4,Low Value
SS-20875,121,15,964.636,2,3,1,6,Low Value
ST-20530,126,12,433.34000000000003,2,3,1,6,Low Value
SU-20665,21,18,2595.364,4,4,3,11,High Value
SV-20365,102,32,11470.949999999999,2,4,4,10,High Value
SV-20785,321,25,4105.305,1,4,4,9,Medium Value
SV-20815,77,6,1271.0900000000001,2,1,2,5,Low Value
SV-20935,3,13,1903.491,4,3,2,9,Medium Value
SW-20245,82,10,1085.078,2,2,1,5,Low Value
SW-20275,31,7,1966.65,4,1,2,7,Medium Value
SW-20350,163,6,1019.044,2,1,1,4,Low Value
SW-20455,163,9,2921.544,2,2,3,7,Medium Value
SW-20755,535,8,758.6959999999999,1,2,1,4,Low Value
SZ-20035,36,20,3625.329,3,4,3,10,High Value
TA-21385,70,10,14595.62,3,2,4,9,Medium Value
TB-21055,120,18,1467.881,2,4,2,8,Medium Value
TB-21175,59,11,3589.296,3,2,3,8,Medium Value
TB-21190,50,4,816.1740000000001,3,1,1,5,Low Value
TB-21250,350,19,1602.376,1,4,2,7,Medium Value
TB-21280,584,11,2198.45,1,2,2,5,Low Value
TB-21355,147,13,834.328,2,3,1,6,Low Value
TB-21400,203,17,9133.99,1,4,4,9,Medium Value
TB-21520,108,20,4737.486,2,4,4,10,High Value
TB-21595,286,7,1387.559,1,1,2,4,Low Value
TB-21625,31,15,2797.668,4,3,3,10,High Value
TC-20980,400,12,19052.218,1,3,4,8,Medium Value
TC-21145,107,4,1038.26,2,1,1,4,Low Value
TC-21295,28,16,4266.812,4,4,4,12,High Value
TC-21475,154,11,1244.976,2,2,2,6,Low Value
TC-21535,5,10,742.5580000000001,4,2,1,7,Medium Value
TD-20995,38,16,1434.5480000000002,3,4,2,9,Medium Value
TG-21310,338,9,3058.372,1,2,3,6,Low Value
TG-21640,115,10,2074.661,2,2,2,6,Low Value
TH-21100,345,7,2422.824,1,1,3,5,Low Value
TH-21115,59,9,2942.772,3,2,3,8,Medium Value
TH-21235,118,13,1022.201,2,3,1,6,Low Value
TH-21550,73,13,4234.0960000000005,3,3,4,10,High Value
TM-21010,104,19,2955.2259999999997,2,4,3,9,Medium Value
TM-21490,131,4,1094.6779999999999,2,1,1,4,Low Value
TN-21040,91,12,3130.221,2,3,3,8,Medium Value
TP-21130,9,16,4454.0560000000005,4,4,4,12,High Value
TP-21415,105,10,5329.0048,2,2,4,8,Medium Value
TP-21565,351,10,1936.6399999999999,1,2,2,5,Low Value
TR-21325,194,7,675.9419999999999,1,1,1,3,Low Value
TS-21085,358,2,4.833,1,1,1,3,Low Value
TS-21160,505,17,2163.6240000000003,1,4,2,7,Medium Value
TS-21205,199,19,5371.09,1,4,4,9,Medium Value
TS-21340,227,12,974.7819999999999,1,3,1,5,Low Value
TS-21370,37,15,11891.751,3,3,4,10,High Value
TS-21430,173,7,2054.14,2,1,2,5,Low Value
TS-21505,12,14,2243.274,4,3,2,9,Medium Value
TS-21610,56,11,2820.424,3,2,3,8,Medium Value
TS-21655,239,14,3368.094,1,3,3,7,Medium Value
TT-21070,32,14,4915.602,3,3,4,10,High Value
TT-21220,184,15,1427.0439999999999,2,3,2,7,Medium Value
TT-21265,407,3,439.5,1,1,1,3,Low Value
TT-21460,13,14,5364.808,4,3,4,11,High Value
TW-21025,65,12,5278.826,3,3,4,10,High Value
TZ-21580,36,9,1707.286,3,2,2,7,Medium Value
VB-21745,55,10,2005.596,3,2,2,7,Medium Value
VD-21670,582,16,6442.254,1,4,4,9,Medium Value
VF-21715,14,11,847.944,4,2,1,7,Medium Value
VG-21790,155,8,846.01,2,2,1,5,Low Value
VG-21805,287,6,427.372,1,1,1,3,Low Value
VM-21685,55,12,2454.866,3,3,3,9,Medium Value
VM-21835,118,8,380.69,2,2,1,5,Low Value
VP-21730,31,5,993.9019999999999,4,1,1,6,Low Value
VP-21760,76,14,3360.526,3,3,3,9,Medium Value
VS-21820,222,8,1055.981,1,2,1,4,Low Value
VT-21700,1001,9,1736.596,1,2,2,5,Low Value
VW-21775,29,18,6134.0380000000005,4,4,4,12,High Value
WB-21850,21,37,6160.102,4,4,4,12,High Value
XP-21865,44,28,2374.658,3,4,3,10,High Value
YC-21895,5,8,5454.35,4,2,4,10,High Value
YS-21880,10,12,6720.4439999999995,4,3,4,11,High Value
ZC-21910,55,31,8025.707,3,4,4,11,High Value
ZD-21925,203,9,1493.944,1,2,2,5,Low Value
